Date,Open,High,Low,Close,Adj Close,Volume
2012-03-14,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-15,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-16,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-19,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-20,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-21,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-22,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-23,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-26,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-27,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-28,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-29,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-03-30,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-02,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-03,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-04,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-05,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-09,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-10,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-11,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-12,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-13,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-16,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-17,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-18,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-19,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-20,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-23,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-24,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-25,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-26,5.500000,5.500000,5.500000,5.500000,5.500000,0
2012-04-27,4.860000,4.860000,4.860000,4.860000,4.860000,1000
2012-04-30,4.860000,4.860000,4.860000,4.860000,4.860000,0
2012-05-01,4.860000,4.860000,4.860000,4.860000,4.860000,0
2012-05-02,4.510000,4.510000,4.510000,4.510000,4.510000,100
2012-05-03,4.510000,4.510000,4.510000,4.510000,4.510000,0
2012-05-04,4.540000,4.540000,4.540000,4.540000,4.540000,100
2012-05-07,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-08,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-09,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-10,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-11,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-14,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-15,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-16,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-17,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-18,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-21,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-22,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-23,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-24,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-25,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-29,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-30,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-05-31,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-01,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-04,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-05,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-06,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-07,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-08,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-11,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-12,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-13,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-14,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-15,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-18,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-19,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-20,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-21,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-22,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-25,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-26,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-27,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-28,4.540000,4.540000,4.540000,4.540000,4.540000,0
2012-06-29,4.700000,4.700000,4.700000,4.700000,4.700000,20000
2012-07-02,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-03,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-05,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-06,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-09,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-10,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-11,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-12,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-13,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-16,4.700000,4.700000,4.700000,4.700000,4.700000,0
2012-07-17,4.750000,4.750000,4.750000,4.750000,4.750000,2000
2012-07-18,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-19,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-20,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-23,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-24,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-25,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-26,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-27,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-30,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-07-31,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-08-01,4.750000,4.750000,4.750000,4.750000,4.750000,0
2012-08-02,4.920000,4.920000,4.920000,4.920000,4.920000,2000
2012-08-03,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-06,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-07,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-08,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-09,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-10,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-13,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-14,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-15,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-16,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-17,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-20,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-21,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-22,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-23,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-24,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-27,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-28,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-29,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-30,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-08-31,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-04,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-05,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-06,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-07,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-10,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-11,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-12,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-13,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-14,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-17,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-18,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-19,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-20,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-21,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-24,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-25,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-26,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-27,4.920000,4.920000,4.920000,4.920000,4.920000,0
2012-09-28,6.560000,6.560000,6.560000,6.560000,6.560000,100
2012-10-01,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-02,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-03,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-04,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-05,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-08,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-09,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-10,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-11,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-12,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-15,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-16,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-17,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-18,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-19,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-22,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-23,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-24,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-25,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-26,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-10-31,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-11-01,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-11-02,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-11-05,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-11-06,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-11-07,6.560000,6.560000,6.560000,6.560000,6.560000,0
2012-11-08,6.560000,6.560000,6.560000,6.560000,6.560000,0
